filename,judge_folder,case_no,case_type,date,hearing_date,petitioner,respondent,advocates_petitioner,advocates_respondent,aors,judges,bench_size,judgment_author,originating_court,originating_case_no,constitutional_refs,precedents,petition_text,sections,outcome,disposition_type,relief,word_count,char_count,exclusion_reason
c.a._1779_2024.pdf,Justice Miangul Hassan Aurangzeb,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._78_2023.pdf,Justice Muhammad Hashim Khan Kakar,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.m.a._714_2023.pdf,Justice Muhammad Hashim Khan Kakar,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._1187_2021.pdf,Justice Muhammad Hashim Khan Kakar,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._146_2025.pdf,Justice Muhammad Hashim Khan Kakar,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._231_2021.pdf,Justice Muhammad Hashim Khan Kakar,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._239_2025.pdf,Justice Muhammad Hashim Khan Kakar,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._876_2022.pdf,Justice Muhammad Hashim Khan Kakar,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._875_2017.pdf,Justice Munib Akhtar,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._441_2020.pdf,Justice Musarrat Hilali,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._812_k_2022.pdf,Justice Shahid Waheed,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._1573_2017.pdf,Justice Syed Hasan Azhar Rizvi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._700_2014.pdf,Justice Syed Hasan Azhar Rizvi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._56_2019.pdf,Justice Syed Hasan Azhar Rizvi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._57_2019.pdf,Justice Syed Hasan Azhar Rizvi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._31_k_2022.pdf,Justice Syed Hasan Azhar Rizvi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._354_l_2016.pdf,Justice Syed Hasan Azhar Rizvi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._46_2024.pdf,Justice Syed Hasan Azhar Rizvi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._1692_2021.pdf,Justice Syed Mansoor Ali Shah,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.r.p._513_2014.pdf,Justice Syed Mansoor Ali Shah,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.r.p._5_2023.pdf,Justice Syed Mansoor Ali Shah,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
const.p._21_2022_16032023.pdf,Justice Syed Mansoor Ali Shah,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
const.p._21_2022_16052023.pdf,Justice Syed Mansoor Ali Shah,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
Crl.A._582_2018.pdf,Justice Yahya Afridi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._2121_2017.pdf,Justice Yahya Afridi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._2444_2016.pdf,Justice Yahya Afridi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._1600_2021.pdf,Justice Yahya Afridi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._2014_l_2019.pdf,Justice Yahya Afridi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._3041_2020.pdf,Justice Yahya Afridi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
const.p._24_2023_an.pdf,Justice Yahya Afridi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._69_q_2022.pdf,Justice Yahya Afridi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
ref._2_2022_13092023_2.pdf,Justice Yahya Afridi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
reference._2_2022_07092024.pdf,Justice Yahya Afridi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
