filename,judge_folder,case_no,case_type,date,hearing_date,petitioner,respondent,advocates_petitioner,advocates_respondent,aors,judges,bench_size,judgment_author,constitutional_refs,precedents,petition_text,sections,outcome,disposition_type,word_count,char_count,year,month,case_length_days,sections_list,case_duration_days
c.a._95_p_2014.pdf,Justice Amin-Ud-Din Khan,CIVIL APPEAL NO.95-P OF 2014 AND C.M.A.NO.774-P,Unknown,2014-06-06,2020-02-19,Shahbaz Gul,Muhammad Younas Khan,Unknown,Unknown,Syed Mastan Ali Shah Zaidi,"JUSTICE MANZOOR AHMAD MALIK
MR. JUSTICE AMIN",1.0,"JUSTICE MANZOOR AHMAD MALIK
MR. JUSTICE AMIN",Article 185,Unknown,"IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) PRESENT: MR. JUSTICE MANZOOR AHMAD MALIK MR. JUSTICE AMIN-UD-DIN KHAN CIVIL APPEAL NO.95-P OF 2014 AND C.M.A.NO.774-P OF 2014 IN C.A. NO.95-P OF 2014 (Against the judgment dated 06.06.2014, passed by the Peshawar High Court, Peshawar in C.R.No.820-P/2013) Shahbaz Gul & others …Appellant(s) VERSUS Muhammad Younas Khan & others …Respondent(s) For the Appellant (s) : Ch. Muhammad Asif, ASC with Mr. M.S. Khattak, AOR For Respondent No.1 : Syed Mastan Ali Shah Zaidi, ASC a/w Respondent No.1 Date of Hearing : 19.02.2020 JUDGMENT AMIN-UD-DIN KHAN, J.- Through this Civil","6,115,185",allowed,Allowed,1446.0,8828.0,2014.0,6.0,2084.0,"['6', '115', '185']",-2084.0
c.a._998_2020.pdf,Justice Amin-Ud-Din Khan,Unknown,Unknown,2020-12-10,2023-05-24,Unknown,Mst Shauicat Ara And,Unknown,Unknown,Respondcnts Mr Abdus Sattar Khan,"Justice Amin; Justice Muhammad Ali Mazhar
Mr. Justice Athar Minallah
dC
C.A ; justice but also
contradicts the established legal precedent set by this Court. It is
essential that any findings being set aside must be done so with
proper reasons and logical justification",3.0,"justice but also
contradicts the established legal precedent set by this Court. It is
essential that any findings being set aside must be done so with
proper reasons and logical justification",Article 185,PLD 1976 SC 37; PLD 1994 SC 245,"47\t) SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present: Mr. Justice Amin-Ud-Din Khan Mr. Justice Muhammad Ali Mazhar Mr. Justice Athar Minallah dC C.A -lib.998 of 2020 (Against the judgment dated 12.10.2020 passed by the Peshawar High Court, Peshawar in Civil Revision No. 1007 of 2009). Shah Fakhr-e-Alam and others Appellants . . . . Versus Mst. ShauIcat Ara and others Respondents . . . For the Appellants: Mr. Zia ur Rchman Khan, ASC. Syed Rifaqat Hussain Shah, AOR","2,12,115,185",set aside,Set Aside,2038.0,12481.0,2020.0,12.0,895.0,"['2', '12', '115', '185']",-895.0
c.m.a._597_2024.pdf,Justice Amin-Ud-Din Khan,Unknown,Unknown,2024-11-07,,Unknown,Unknown,Unknown,Unknown,Unknown,"Justice Jamal Khan Mandokhail
Mr. Justice Muhammad Ali Mazhar
Mr. Justice Syed Hasan Azhar Rizvi
Mr. Justice Shahid Waheed
Mr. Justice Irfan Saadat Khan
Mr. Justice Shahid Bilal Hassan
CMAs No. ; Justice Amin; Justice Division
which may",3.0,"Justice Division
which may",Article 184; Article 100,PLD 2017 SC 121,< IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Larger Bench Mr. Justice Amin-ud-Din Khan Mr. Justice Jamal Khan Mandokhail Mr. Justice Muhammad Ali Mazhar Mr. Justice Syed Hasan Azhar Rizvi Mr. Justice Shahid Waheed Mr. Justice Irfan Saadat Khan Mr. Justice Shahid Bilal Hassan CMAs No. 597 & 598 of 2024 in ICAs 16 gs 24/2023 (For rejection of the appeals on behalf of the respondents 1 to 5) .Appellants Federation of Pakistan The Province of Balochistan through the Chief Secretary Services & General Administration Department Quetta versus ....Respondents,"1,2,3,5,6,14,15,16,22,24,59,100,184,597",unknown,Unknown,2141.0,12948.0,2024.0,11.0,Unknown,"['1', '2', '3', '5', '6', '14', '15', '16', '22', '24', '59', '100', '184', '597']",
c.m.a._649_l_2021.pdf,Justice Amin-Ud-Din Khan,Unknown,Unknown,2021-04-02,2023-01-27,Irfan Azam And,Mst Rabia Rafique And,Unknown,Unknown,Unknown,"JUSTICE SARDAR TARIQ MASOOD
MR. JUSTICE AMIN; JUSTICE SYED HASAN AZHAR RIZVI
C.M.A.No.NO. ",2.0,"JUSTICE SYED HASAN AZHAR RIZVI
C.M.A.No.NO.",Unknown,Unknown,"IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) PRESENT: MR. JUSTICE SARDAR TARIQ MASOOD MR. JUSTICE AMIN-UD-DIN KHAN MR. JUSTICE SYED HASAN AZHAR RIZVI C.M.A.No.NO. 649-L OF 2021 in Civil Review Petition No. Nil of 2021 in CPLA. No. 1719-L of 2020. (Against the order dated 04.02.2021 passed in CPLA No. 1719-L of 2020.) Irfan Azam and others … Petitioner(s) VERSUS Mst. Rabia Rafique and others … Respondent(s) For the Applicant(s) : Agha Muhammad Ali Khan, ASC with Syed Rifaqat Hussain Shah, AOR. (In CMA.No. 649-L of 2021). For the Applicant(s): Syed Qalb-i-Hassan, ASC (In CMA No. 269-L of 2021). For the Respondents. Mr. Rashid Hafeez, ASC. Mr. Anis Muhammad Shehzad, AOR.","4,6",unknown,Unknown,1229.0,7275.0,2021.0,4.0,665.0,"['4', '6']",-665.0
c.p._1550_2017.pdf,Justice Amin-Ud-Din Khan,Civil Petition No. 1550 of 2017,Civil,2017-02-27,2021-09-23,Muhammad Saeed Khan,Malik Muhammad Ashraf And,"Mr. Farhat Nawaz Lodhi, ASC",N.R,has sent a written was directed to of the instant Petition were absent and this Petition,"JUSTICE SARDAR TARIQ MASOOD
MR. JUSTICE AMIN; JUSTICE JAMAL KHAN MANDOKHAIL
Civil Petition No. ",2.0,"JUSTICE JAMAL KHAN MANDOKHAIL
Civil Petition No.",Article 185; Article 185,Unknown,"SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present: MR. JUSTICE SARDAR TARIQ MASOOD MR. JUSTICE AMIN-UD-DIN KHAN MR. JUSTICE JAMAL KHAN MANDOKHAIL Civil Petition No. 1550 of 2017 (Against the order dated 27.02.2017 passed by the Islamabad High Court, Islamabad in Writ Petition No. 531 of 2017) Muhammad Saeed Khan ...Petitioner Versus Malik Muhammad Ashraf and others …Respondents For the Petitioner: Mr. Farhat Nawaz Lodhi, ASC For the Respondents: N.R Date of Hearing: 23.09.2021 ORDER AMIN-UD-DIN KHAN, J.- Through this Petition filed","10,185",petition dismissed,Dismissed,1212.0,7365.0,2017.0,2.0,1669.0,"['10', '185']",-1669.0
c.p._1676_l_2011.pdf,Justice Amin-Ud-Din Khan,CIVIL PETITION NO.1676-L OF 2011,Unknown,2011-05-26,2020-02-28,Unknown,Unknown,Unknown,Unknown,Unknown,"JUSTICE MANZOOR AHMAD MALIK
MR. JUSTICE AMIN",1.0,"JUSTICE MANZOOR AHMAD MALIK
MR. JUSTICE AMIN",Article 185,PLD 1991 SC 1131,"SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) PRESENT: MR. JUSTICE MANZOOR AHMAD MALIK MR. JUSTICE AMIN-UD-DIN KHAN CIVIL PETITION NO.1676-L OF 2011 (Against judgment dated 26.5.2011, passed by the Lahore High Court, Multan Bench, in C.R. No.574 of 1992) Barkat Ali (decd.) through L.Rs, etc. ...Petitioner(s) Versus Tanvir Abbas Tabish, etc. …Respondent(s) For the Petitioner (s) : Ch. Muhammad Ashraf, ASC Mr. M.A. Ghaffar-ul-Haq, ASC Mr. Zakria Sh., ASC For the Respondent (s) : Syed Zafar Abbas Gillani, ASC Date of Hearing : 28.02.2020 JUDGMENT AMIN-UD-DIN KHAN, J.- Through this Civil Petition filed under Article 185(3) of the Constitution of the Islamic Republic of Pakistan, 1973, leave has been sought","3,185",unknown,Unknown,936.0,5674.0,2011.0,5.0,3200.0,"['3', '185']",-3200.0
c.p._181_q_2021.pdf,Justice Amin-Ud-Din Khan,Unknown,Unknown,2021-06-05,2021-10-25,Unknown,Unknown,"Mr. Liaqat Ali Tareen, ASC.",Unknown,Unknown,"Justice Muhammad Ali Mazhar
Civil Petitions No. ; Justice Sardar Tariq Masood
Mr. Justice Amin",2.0,"Justice Sardar Tariq Masood
Mr. Justice Amin",Article 185,Unknown,"4-' SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present: Mr. Justice Sardar Tariq Masood Mr. Justice Amin-Ud-Din Khan Mr. Justice Muhammad Ali Mazhar Civil Petitions No. 181-p to 184-0 of 2021 (Against the judgment dated 06.05.2021 passed by the High Court of Balochistan, Quetta in Review Petition No. 04 of 2021 in Civil Revision No. 330 of 2020) Abdul Qadir (in C.P. 181-Q/2021) Abdul Liakeem (in C.P.182-Q/2021) Essa Muhammad (in C.P. 183-Q/2021) Abdul Aziz .Petitioners","1,185",unknown,Unknown,1553.0,9236.0,2021.0,6.0,142.0,"['1', '185']",-142.0
c.p._1890_l_2017.pdf,Justice Amin-Ud-Din Khan,Civil Petition No. 1890-L of 2017 and C.M.A.2295-L of 2017,Civil,2021-09-29,,Unknown,Abdul Ghafoor,"Rana Zia Abdul Rehman, ASC","Dr. G. M. Chaudhry, ASC",Unknown,"JUSTICE JAMAL KHAN MANDOKHAIL
Civil Petition No. ; JUSTICE AMIN",2.0,JUSTICE AMIN,Article 185,PLD 2008 SC 140,"SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present: MR. JUSTICE AMIN-UD-DIN KHAN MR. JUSTICE JAMAL KHAN MANDOKHAIL Civil Petition No. 1890-L of 2017 and C.M.A.2295-L of 2017 (Against the order dated 10.5.20 17 passed by the Lahore High Court, Multan Bench in Civil Revision No. 770-D of 2009.) Muhammad Jameel, etc. .Petitioners Versus Abdul Ghafoor Respondent For the Petitioners: Rana Zia Abdul Rehman, ASC For the Respondent: Dr. G. M. Chaudhry, ASC Syed Rifaqat Hussain Shah, AOR Date of Hearing: 29.09.2021 ORDER AMIN-UD-DIN KHAN, J... Through this petition filed under Article 185(3) of the Constitution of the Islamic Republic of Pakistan, 1973, leave has been sought to appeal against the judgment dated 10.05.2017 passed by the learned Single Judge of","6,8,9,42,80,185",set aside,Set Aside,1104.0,6772.0,2021.0,9.0,Unknown,"['6', '8', '9', '42', '80', '185']",
c.p._211_q_2017.pdf,Justice Amin-Ud-Din Khan,Unknown,Unknown,2017-09-10,2023-01-18,Unknown,Aziz Ahmed And,"Ch. Aamir Rehman, Additional","Syed Ayaz Zahoor, Sr. ASC.",Unknown,"JUSTICE SARDAR TARIQ MASOOD
MR. JUSTICE AMIN; JUSTICE SYED HASAN AZHAR RIZVI
C.P.L.A. No. ",2.0,"JUSTICE SYED HASAN AZHAR RIZVI
C.P.L.A. No.",Article 199; Article 185; Article 199,Unknown,"IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) PRESENT: MR. JUSTICE SARDAR TARIQ MASOOD MR. JUSTICE AMIN-UD-DIN KHAN MR. JUSTICE SYED HASAN AZHAR RIZVI C.P.L.A. No. 211-Q of 2017 and C.P.L.A. No. 5070 of 2017. (Against the judgment dated 09.10.2017 passed by the High Court of Balochistan Quetta in C.P.No. 824 of 2011. Director Military Lands & Cantonment Quetta Cantt Quetta and another. (in CP.No. 211-Q of 2017) Military Estate Officer, Quetta Circle, Quetta. ...Petitioners (in CP.No. 5070 of 2017) Versus Aziz Ahmed and others. …Respondents (in both cases)","1,2,6,7,8,9,13,30,42,50,97,108,185,199,326,2904,3049",set aside,Set Aside,2717.0,15923.0,2017.0,9.0,1956.0,"['1', '2', '6', '7', '8', '9', '13', '30', '42', '50', '97', '108', '185', '199', '326', '2904', '3049']",-1956.0
c.p._2178_l_2022.pdf,Justice Amin-Ud-Din Khan,Civil Petition No.2148-L/2022,Civil,2022-04-15,2024-01-25,Unknown,Unknown,"Mr. Muhammad Jawad Zafar, ASC","Mr. Haroon Dugal, ASC.",Unknown,"Justice Sardar Tariq Masood
Mr. Justice Amin; Justice Syed Hasan Azhar Ravi
",2.0,Justice Syed Hasan Azhar Ravi,Article 185; Article 129,Unknown,"• ll 1 q bb 1 IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present: Mr. Justice Sardar Tariq Masood Mr. Justice Amin-ud-Din Khan Mr. Justice Syed Hasan Azhar Ravi (4 P( ) Civil Petition No.2148-L/2022 Against the judgment dated 15.04.2022 passed by the Lahore High Court, Lahore in Civil Reuision No.2108 of 2014. Muhammad Riaz Petitioner . . . . Versus Muhammad Altram etc. .Respondents","2,5,13,129,185",set aside,Set Aside,2413.0,14468.0,2022.0,4.0,650.0,"['2', '5', '13', '129', '185']",-650.0
c.p._2230_2015.pdf,Justice Amin-Ud-Din Khan,CIVIL PETITION NO.2230 OF 2015,Unknown,2015-07-07,2020-04-02,Allah Rakha Decd Thr Lrs,Additional Commissioner Revenue,Unknown,Unknown,Mr Muhammad Amir Malik,"JUSTICE MANZOOR AHMAD MALIK
MR. JUSTICE AMIN",1.0,"JUSTICE MANZOOR AHMAD MALIK
MR. JUSTICE AMIN",Article 199; Article 185,Unknown,"SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) PRESENT: MR. JUSTICE MANZOOR AHMAD MALIK MR. JUSTICE AMIN-UD-DIN KHAN CIVIL PETITION NO.2230 OF 2015 (Against the judgment dated 07.07.2015 passed by the Lahore High Court, Lahore in Writ Petition No.68-R of 2002) Allah Rakha (decd) thr. LRs & others ...Petitioner(s) Versus Additional Commissioner (Revenue) …Respondent(s) Gujranwala & others For the Petitioner (s) : Hafiz S. A. Rehman, ASC For Respondents No.1 : Ch. Faisal Fareed, AAG, Punjab & 2 For Respondent No.3 : Syed Rifaqat Hussain Shah, AOR For Respondent No.12 : Mr. Muhammad Amir Malik, ASC","3,22,185,199",unknown,Unknown,751.0,4584.0,2015.0,7.0,1731.0,"['3', '22', '185', '199']",-1731.0
c.p._2477_l_2015.pdf,Justice Amin-Ud-Din Khan,CIVIL PETITION NO.2477-L OF 2015,Unknown,2015-09-17,2020-01-16,Unknown,Unknown,Unknown,Unknown,Unknown,"JUSTICE MANZOOR AHMAD MALIK
MR. JUSTICE AMIN",1.0,"JUSTICE MANZOOR AHMAD MALIK
MR. JUSTICE AMIN",Article 185,PLD 1975 SC 463,"SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) PRESENT: MR. JUSTICE MANZOOR AHMAD MALIK MR. JUSTICE AMIN-UD-DIN KHAN CIVIL PETITION NO.2477-L OF 2015 (On appeal from judgment dated 17.9.2015, passed by the Lahore High Court, Multan Bench, Multan, in C.R. No.811-D of 2002) Muhammad Siddique (decd) thr. L.Rs. etc. ...Petitioners Versus Mst. Noor Bibi (decd) through L.Rs. etc. …Respondents For the Petitioners : Mr. Zulfiqar Ali Khan, ASC Respondents : N.R. Date of Hearing : 16.01.2020 JUDGMENT AMIN-UD-DIN KHAN, J.- The learned counsel for the Petitioners has filed Civil Misc. Application bearing No.2553-L of 2015 for impleadment of the legal heirs of the deceased Petitioner, which was allowed, subject to all just","2,10,13,42,185",set aside,Set Aside,2064.0,12525.0,2015.0,9.0,1582.0,"['2', '10', '13', '42', '185']",-1582.0
